date,/m/0cjf0
2020-09-02,19
2020-09-03,32
2020-09-04,34
2020-09-05,29
2020-09-06,27
2020-09-07,67
2020-09-08,100
2020-09-09,25
2020-09-10,89
2020-09-11,33
2020-09-12,43
2020-09-13,61
2020-09-14,79
2020-09-15,31
2020-09-16,37
2020-09-17,31
2020-09-18,53
2020-09-19,44
2020-09-20,55
2020-09-21,86
2020-09-22,93
2020-09-23,42
2020-09-24,50
2020-09-25,26
2020-09-26,48
2020-09-27,20
2020-09-28,60
2020-09-29,6
2020-09-30,49
2020-10-01,38
2020-10-02,47
2020-10-03,15
2020-10-04,27
2020-10-05,24
2020-10-06,57
2020-10-07,49
2020-10-08,44
2020-10-09,42
2020-10-10,83
2020-10-11,27
2020-10-12,37
2020-10-13,50
2020-10-14,32
2020-10-15,46
2020-10-16,47
2020-10-17,56
2020-10-18,49
2020-10-19,52
2020-10-20,53
2020-10-21,7
2020-10-22,36
2020-10-23,30
2020-10-24,50
2020-10-25,45
2020-10-26,64
2020-10-27,40
2020-10-28,39
2020-10-29,33
2020-10-30,33
2020-10-31,71
2020-11-01,34
2020-11-02,83
2020-11-03,13
2020-11-04,41
2020-11-05,41
2020-11-06,65
2020-11-07,49
2020-11-08,33
2020-11-09,64
2020-11-10,44
2020-11-11,74
2020-11-12,76
2020-11-13,87
2020-11-14,48
2020-11-15,66
2020-11-16,30
2020-11-17,62
2020-11-18,37
2020-11-19,49
2020-11-20,48
2020-11-21,61
2020-11-22,33
2020-11-23,49
2020-11-24,60
2020-11-25,24
2020-11-26,57
2020-11-27,80
2020-11-28,67
2020-11-29,39
2020-11-30,54
2020-12-01,18
2020-12-02,42
2020-12-03,49
2020-12-04,32
2020-12-05,49
2020-12-06,60
2020-12-07,24
2020-12-08,59
2020-12-09,18
2020-12-10,25
2020-12-11,31
2020-12-12,32
2020-12-13,53
2020-12-14,48
2020-12-15,38
2020-12-16,44
2020-12-17,26
2020-12-18,7
2020-12-19,58
2020-12-20,48
2020-12-21,46
2020-12-22,69
2020-12-23,29
2020-12-24,33
2020-12-25,16
2020-12-26,51
2020-12-27,20
2020-12-28,26
2020-12-29,13
2020-12-30,20
