date,/m/05w_j
2020-09-14,36
2020-09-15,24
2020-09-16,25
2020-09-17,26
2020-09-18,0
2020-09-19,0
2020-09-20,29
2020-09-21,0
2020-09-22,49
2020-09-23,49
2020-09-24,24
2020-09-25,83
2020-09-26,0
2020-09-27,0
2020-09-28,80
2020-09-29,39
2020-09-30,67
2020-10-01,27
2020-10-02,56
2020-10-03,0
2020-10-04,0
2020-10-05,27
2020-10-06,26
2020-10-07,27
2020-10-08,0
2020-10-09,30
2020-10-10,32
2020-10-11,0
2020-10-12,0
2020-10-13,28
2020-10-14,42
2020-10-15,29
2020-10-16,29
2020-10-17,0
2020-10-18,0
2020-10-19,28
2020-10-20,27
2020-10-21,28
2020-10-22,55
2020-10-23,29
2020-10-24,0
2020-10-25,30
2020-10-26,40
2020-10-27,27
2020-10-28,41
2020-10-29,28
2020-10-30,28
2020-10-31,32
2020-11-01,59
2020-11-02,79
2020-11-03,0
2020-11-04,25
2020-11-05,37
2020-11-06,51
2020-11-07,28
2020-11-08,30
2020-11-09,76
2020-11-10,39
2020-11-11,0
2020-11-12,40
2020-11-13,27
2020-11-14,60
2020-11-15,29
2020-11-16,76
2020-11-17,51
2020-11-18,76
2020-11-19,52
2020-11-20,40
2020-11-21,0
2020-11-22,28
2020-11-23,87
2020-11-24,25
2020-11-25,25
2020-11-26,64
2020-11-27,25
2020-11-28,29
2020-11-29,73
2020-11-30,25
2020-12-01,52
2020-12-02,64
2020-12-03,26
2020-12-04,27
2020-12-05,58
2020-12-06,29
2020-12-07,25
2020-12-08,100
2020-12-09,52
2020-12-10,53
2020-12-11,41
