date,/m/01b_06
2020-09-02,62
2020-09-03,75
2020-09-04,64
2020-09-05,65
2020-09-06,71
2020-09-07,79
2020-09-08,57
2020-09-09,74
2020-09-10,55
2020-09-11,64
2020-09-12,66
2020-09-13,74
2020-09-14,87
2020-09-15,65
2020-09-16,78
2020-09-17,69
2020-09-18,46
2020-09-19,63
2020-09-20,88
2020-09-21,66
2020-09-22,67
2020-09-23,71
2020-09-24,74
2020-09-25,71
2020-09-26,45
2020-09-27,52
2020-09-28,66
2020-09-29,61
2020-09-30,56
2020-10-01,52
2020-10-02,69
2020-10-03,58
2020-10-04,84
2020-10-05,71
2020-10-06,61
2020-10-07,71
2020-10-08,91
2020-10-09,66
2020-10-10,44
2020-10-11,65
2020-10-12,77
2020-10-13,77
2020-10-14,69
2020-10-15,57
2020-10-16,52
2020-10-17,45
2020-10-18,69
2020-10-19,87
2020-10-20,64
2020-10-21,59
2020-10-22,66
2020-10-23,71
2020-10-24,71
2020-10-25,66
2020-10-26,78
2020-10-27,84
2020-10-28,84
2020-10-29,84
2020-10-30,89
2020-10-31,66
2020-11-01,76
2020-11-02,90
2020-11-03,97
2020-11-04,86
2020-11-05,81
2020-11-06,76
2020-11-07,91
2020-11-08,89
2020-11-09,100
2020-11-10,90
2020-11-11,84
2020-11-12,80
2020-11-13,54
2020-11-14,77
2020-11-15,80
2020-11-16,98
2020-11-17,93
2020-11-18,85
2020-11-19,59
2020-11-20,67
2020-11-21,56
2020-11-22,91
2020-11-23,69
2020-11-24,73
2020-11-25,58
2020-11-26,68
2020-11-27,72
2020-11-28,54
2020-11-29,73
2020-11-30,71
2020-12-01,61
2020-12-02,68
2020-12-03,61
2020-12-04,50
2020-12-05,47
2020-12-06,86
2020-12-07,72
2020-12-08,77
2020-12-09,70
2020-12-10,66
2020-12-11,56
2020-12-12,59
2020-12-13,54
2020-12-14,62
2020-12-15,54
2020-12-16,72
2020-12-17,59
2020-12-18,69
2020-12-19,70
2020-12-20,72
2020-12-21,84
2020-12-22,75
2020-12-23,72
2020-12-24,57
2020-12-25,80
2020-12-26,81
2020-12-27,62
2020-12-28,66
2020-12-29,69
2020-12-30,60
