date,/m/05w_j
2020-09-14,29
2020-09-15,18
2020-09-16,24
2020-09-17,24
2020-09-18,24
2020-09-19,21
2020-09-20,56
2020-09-21,36
2020-09-22,71
2020-09-23,18
2020-09-24,47
2020-09-25,33
2020-09-26,14
2020-09-27,21
2020-09-28,12
2020-09-29,25
2020-09-30,37
2020-10-01,42
2020-10-02,38
2020-10-03,44
2020-10-04,28
2020-10-05,0
2020-10-06,24
2020-10-07,31
2020-10-08,13
2020-10-09,41
2020-10-10,32
2020-10-11,15
2020-10-12,58
2020-10-13,44
2020-10-14,38
2020-10-15,59
2020-10-16,35
2020-10-17,44
2020-10-18,29
2020-10-19,49
2020-10-20,30
2020-10-21,37
2020-10-22,38
2020-10-23,53
2020-10-24,65
2020-10-25,48
2020-10-26,62
2020-10-27,44
2020-10-28,100
2020-10-29,58
2020-10-30,26
2020-10-31,14
2020-11-01,21
2020-11-02,47
2020-11-03,31
2020-11-04,23
2020-11-05,34
2020-11-06,18
2020-11-07,27
2020-11-08,46
2020-11-09,31
2020-11-10,39
2020-11-11,38
2020-11-12,39
2020-11-13,33
2020-11-14,57
2020-11-15,55
2020-11-16,38
2020-11-17,38
2020-11-18,89
2020-11-19,51
2020-11-20,61
2020-11-21,35
2020-11-22,49
2020-11-23,57
2020-11-24,50
2020-11-25,82
2020-11-26,49
2020-11-27,32
2020-11-28,27
2020-11-29,14
2020-11-30,60
2020-12-01,40
2020-12-02,51
2020-12-03,76
2020-12-04,39
2020-12-05,27
2020-12-06,19
2020-12-07,56
2020-12-08,25
2020-12-09,68
2020-12-10,50
2020-12-11,51
