date,/m/01cpyy
2020-09-02,29
2020-09-03,32
2020-09-04,46
2020-09-05,52
2020-09-06,42
2020-09-07,39
2020-09-08,45
2020-09-09,42
2020-09-10,49
2020-09-11,51
2020-09-12,44
2020-09-13,46
2020-09-14,51
2020-09-15,42
2020-09-16,36
2020-09-17,40
2020-09-18,54
2020-09-19,47
2020-09-20,46
2020-09-21,40
2020-09-22,39
2020-09-23,55
2020-09-24,49
2020-09-25,59
2020-09-26,61
2020-09-27,52
2020-09-28,68
2020-09-29,58
2020-09-30,58
2020-10-01,53
2020-10-02,68
2020-10-03,67
2020-10-04,44
2020-10-05,47
2020-10-06,47
2020-10-07,41
2020-10-08,54
2020-10-09,66
2020-10-10,83
2020-10-11,87
2020-10-12,59
2020-10-13,59
2020-10-14,50
2020-10-15,55
2020-10-16,69
2020-10-17,64
2020-10-18,57
2020-10-19,56
2020-10-20,51
2020-10-21,60
2020-10-22,100
2020-10-23,91
2020-10-24,71
2020-10-25,59
2020-10-26,69
2020-10-27,60
2020-10-28,58
2020-10-29,48
2020-10-30,61
2020-10-31,76
2020-11-01,63
2020-11-02,51
2020-11-03,40
2020-11-04,37
2020-11-05,41
2020-11-06,45
2020-11-07,48
2020-11-08,38
2020-11-09,45
2020-11-10,36
2020-11-11,34
2020-11-12,36
2020-11-13,36
2020-11-14,32
2020-11-15,29
2020-11-16,28
2020-11-17,26
2020-11-18,32
2020-11-19,28
2020-11-20,24
2020-11-21,25
2020-11-22,32
2020-11-23,31
2020-11-24,29
2020-11-25,32
2020-11-26,26
2020-11-27,17
2020-11-28,23
2020-11-29,23
2020-11-30,22
2020-12-01,25
2020-12-02,24
2020-12-03,26
2020-12-04,26
2020-12-05,32
2020-12-06,22
2020-12-07,27
2020-12-08,35
2020-12-09,36
2020-12-10,29
2020-12-11,27
2020-12-12,35
2020-12-13,31
2020-12-14,33
2020-12-15,31
2020-12-16,44
2020-12-17,39
2020-12-18,37
2020-12-19,33
2020-12-20,41
2020-12-21,38
2020-12-22,40
2020-12-23,29
2020-12-24,31
2020-12-25,34
2020-12-26,32
2020-12-27,28
2020-12-28,32
2020-12-29,29
2020-12-30,34
